date,key,value,percent
2011,South Korea,62442,0.213
2011,France,1,0
2011,United States,23292,0.080
2011,Japan,17961,0.061
2011,Thailand,14145,0.048
2011,Vietnam,13549,0.046
2011,Russia,13340,0.046
2011,Indonesia,10957,0.037
2011,India,9370,0.032
2011,Pakistan,8516,0.029
2011,Kazakhstan,8287,0.028
2011,Others,1,0.380
2010,South Korea,62975,0.238
2010,United States,19668,0.074
2010,Japan,16808,0.063
2010,Thailand,13177,0.050
2010,Vietnam,13018,0.049
2010,Russia,12481,0.047
2010,Indonesia,9539,0.036
2010,India,9014,0.034
2010,Kazakhstan,7874,0.030
2010,Pakistan,7406,0.028
2010,France,1,0
2010,Others,1,0.351
2009,South Korea,64232,0.271
2009,United States,18650,0.078
2009,Japan,15409,0.065
2009,Vietnam,12247,0.051
2009,Thailand,11379,0.048
2009,Russia,10596,0.044
2009,France,1,0
2009,India,8468,0.036
2009,Indonesia,7926,0.033
2009,Kazakhstan,6497,0.027
2009,Pakistan,5738,0.024
2009,Others,1,0.323
2008,South Korea,66806,0.299
2008,United States,19914,0.089
2008,Japan,16733,0.075
2008,Vietnam,10396,0.047
2008,Russia,8939,0.040
2008,France,1,0
2008,Thailand,8476,0.038
2008,India,8145,0.036
2008,Indonesia,7084,0.032
2008,Kazakhstan,5666,0.025
2008,Pakistan,5199,0.023
2008,Others,1,0.296
2007,South Korea,64481,0.330
2007,Japan,18640,0.095
2007,United States,14758,0.075
2007,Vietnam,9702,0.050
2007,Thailand,7306,0.037
2007,Russia,7261,0.037
2007,India,7190,0.037
2007,Indonesia,6590,0.034
2007,France,4698,0.024
2007,Kazakhstan,1,0
2007,Pakistan,4450,0.023
2007,Others,1,0.258
2006,South Korea,54036,0.383
2006,Japan,18906,0.134
2006,United States,10299,0.073
2006,Vietnam,5785,0.041
2006,Pakistan,1,0
2006,Indonesia,4656,0.033
2006,Thailand,3668,0.026
2006,Russia,3527,0.025
2006,Kazakhstan,1,0
2006,India,3245,0.023
2006,France,3101,0.022
2006,Others,1,0.240
2005,South Korea,54036,0.383
2005,Japan,18906,0.134
2005,United States,10299,0.073
2005,Vietnam,5785,0.041
2005,Pakistan,1,0
2005,Indonesia,4656,0.033
2005,Thailand,3668,0.026
2005,Russia,3527,0.025
2005,Kazakhstan,1,0
2005,India,3245,0.023
2005,France,3101,0.022
2005,Others,1,0.240
