key,2006,2007,2008,2009,2010,2011,2012
Canada,0.05,0.05,0.05,0.04,0.04,0.04,0.04
China,0.11,0.12,0.13,0.15,0.19,0.22,0.25
Germany,0.02,0.02,0,0,0,0,0
India,0.14,0.14,0.15,0.15,0.15,0.14,0.13
Japan,0.07,0.06,0.05,0.04,0.04,0.03,0.03
Mexico,0.03,0.02,0.02,0.02,0.02,0.02,0.02
Others,0.38,0.39,0.39,0.39,0.36,0.35,0.31
Saudi Arabia,0,0,0.02,0.02,0.02,0.03,0.05
South Korea,0.11,0.11,0.11,0.11,0.1,0.1,0.1
Taiwan,0.05,0.05,0.05,0.04,0.04,0.03,0.03
Thailand,0.02,0.02,0.01,0,0,0,0
Turkey,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Vietnam,0,0,0,0.02,0.02,0.02,0.02
