date,key,value,percent
2012,Others,1,0.31
2012,Germany,0,0
2012,Thailand,0,0
2012,China,194029,0.25
2012,India,100270,0.13
2012,South Korea,72295,0.1
2012,Saudi Arabia,34139,0.05
2012,Canada,26821,0.04
2012,Taiwan,23250,0.03
2012,Japan,19966,0.03
2012,Vietnam,15572,0.02
2012,Mexico,13893,0.02
2012,Turkey,11973,0.02
2011,Others,1,0.35
2011,Thailand,0,0
2011,Germany,0,0
2011,China,157558,0.22
2011,India,103895,0.14
2011,South Korea,73351,0.1
2011,Canada,27546,0.04
2011,Taiwan,24818,0.03
2011,Saudi Arabia,22704,0.03
2011,Japan,21290,0.03
2011,Vietnam,14888,0.02
2011,Mexico,13713,0.02
2011,Turkey,12184,0.02
2010,Others,1,0.36
2010,China,127628,0.19
2010,India,104897,0.15
2010,South Korea,72153,0.1
2010,Canada,28145,0.04
2010,Taiwan,26685,0.04
2010,Thailand,0,0
2010,Japan,24842,0.04
2010,Germany,0,0
2010,Saudi Arabia,15810,0.02
2010,Mexico,13450,0.02
2010,Vietnam,13112,0.02
2010,Turkey,12397,0.02
2009,Others,1,0.39
2009,India,103260,0.15
2009,China,98235,0.15
2009,South Korea,75065,0.11
2009,Canada,29697,0.04
2009,Germany,0,0
2009,Thailand,0,0
2009,Japan,29264,0.04
2009,Taiwan,28065,0.04
2009,Mexico,14850,0.02
2009,Vietnam,12823,0.02
2009,Saudi Arabia,12661,0.02
2009,Turkey,12148,0.02
2008,Others,1,0.39
2008,Vietnam,0,0
2008,India,94563,0.15
2008,China,81127,0.13
2008,South Korea,69124,0.11
2008,Japan,33974,0.05
2008,Canada,29051,0.05
2008,Germany,0,0
2008,Taiwan,29001,0.05
2008,Mexico,14837,0.02
2008,Turkey,12030,0.02
2008,Saudi Arabia,9873,0.02
2008,Thailand,9004,0.01
2007,Others,1,0.39
2007,India,83833,0.14
2007,China,67723,0.12
2007,South Korea,62392,0.11
2007,Japan,35282,0.06
2007,Vietnam,0,0
2007,Taiwan,29094,0.05
2007,Canada,28280,0.05
2007,Mexico,13826,0.02
2007,Turkey,11506,0.02
2007,Thailand,8886,0.02
2007,Germany,8656,0.02
2007,Saudi Arabia,0,0
2006,Others,1,0.38
2006,India,76503,0.14
2006,China,62582,0.11
2006,South Korea,59022,0.11
2006,Japan,38712,0.07
2006,Canada,28202,0.05
2006,Taiwan,27876,0.05
2006,Mexico,13931,0.03
2006,Turkey,11622,0.02
2006,Germany,8829,0.02
2006,Thailand,8765,0.02
2006,Saudi Arabia,0,0
2006,Vietnam,0,0
